seed_id,source_name,engineering_tier,focus_reason,score_floor,notes
beijing_jiaotong_211,北京交通大学招生与就业工作处,core,轨道交通_自动化_电子信息_计算机相关强势,520,强势工科211核心池_520口径
beijing_gongye_211,北京工业大学,core,工科综合实力强_北京区位,520,强势工科211核心池_520口径
beijing_keji_211,北京科技大学本科招生网,core,材料冶金延展到自动化计算机工科综合,520,强势工科211核心池_520口径
beijing_huagong_211,北京化工大学,core,化工材料控制类工科强校,520,强势工科211核心池_520口径
beijing_you_dian_211,北京邮电大学本科招生网,core,信息通信计算机方向强势,520,强势工科211核心池_520口径
huabei_dianli_211,华北电力大学,core,电气能源自动化方向强势,520,强势工科211核心池_520口径
zhongguo_dizhi_beijing_211,中国地质大学北京,support,地质资源类强校_含工科方向,520,工科补充池_520口径
zhongguo_shiyou_beijing_211,中国石油大学北京,core,能源石油类强校_含工科方向,520,强势工科211核心池_520口径
zhongguo_kuangye_beijing_211,中国矿业大学北京,support,矿业安全测绘类强势_工科补充,520,工科补充池_520口径
hebei_gongye_211,河北工业大学,core,传统强工科211,520,强势工科211核心池_520口径
shanghai_daxue_211,上海大学,support,工科综合+上海区位,520,工科补充池_520口径
huadong_ligong_211,华东理工大学本科招生网,core,化工材料控制信息方向强势,520,强势工科211核心池_520口径
donghua_211,东华大学,support,纺织材料信息交叉_工科补充,520,工科补充池_520口径
suzhou_daxue_211,苏州大学,support,工科非核心_但区位较强,520,工科补充池_520口径
zhongguo_kuangye_211,中国矿业大学,core,矿业安全电气测绘等工科强校,520,强势工科211核心池_520口径
hehai_211,河海大学,core,水利土木电气自动化等工科强校,520,强势工科211核心池_520口径
nanhang_211,南京航空航天大学招生网,core,航空航天自动化计算机电子信息强势,520,强势工科211核心池_520口径
nanli_211,南京理工大学本科招生信息网,core,兵工电子计算机自动化强势,520,强势工科211核心池_520口径
jiangnan_211,江南大学,support,轻工食品生工为主_保留工科补充,520,工科补充池_520口径
hefei_gongda_211,合肥工业大学本科招生,core,传统工科211强校_电子信息机械自动化强,520,强势工科211核心池_520口径
fuzhou_daxue_211,福州大学,core,工科综合+化工电气土木等强势,520,强势工科211核心池_520口径
zhongguo_shiyou_huadong_211,中国石油大学华东,core,能源石油信息控制工科强势,520,强势工科211核心池_520口径
zhengzhou_daxue_211,郑州大学,support,综合性大校_工科可补充,520,工科补充池_520口径
wuhan_ligong_211,武汉理工大学本科招生网,core,材料交通船海机械自动化工科强势,520,强势工科211核心池_520口径
zhongguo_dizhi_wuhan_211,中国地质大学武汉,support,地学+资源工科强势_补充池,520,工科补充池_520口径
guangxi_daxue_211,广西大学,support,区内211_工科可作为区域补充,520,工科补充池_520口径
xinan_jiaoda_211,西南交通大学本科生招生信息公开,core,轨道交通电气自动化土木工科强势,520,强势工科211核心池_520口径
xidian_211,西安电子科技大学本科招生网,core,电子信息通信计算机方向强势,520,强势工科211核心池_520口径
changan_211,长安大学,core,交通运输土木地学装备工科强势,520,强势工科211核心池_520口径
dalian_haishi_211,大连海事大学,core,航海轮机交通信息等强势,520,强势工科211核心池_520口径
haerbin_gongcheng_211,哈尔滨工程大学本科招生,core,船海核电子信息自动化工科强势,520,强势工科211核心池_520口径
taiyuan_ligong_211,太原理工大学,core,传统强工科211,520,强势工科211核心池_520口径
